question,true_answer,wikipedia_link_1,wikipedia_link_2,wikipedia_link_3,wikipedia_link_4,wikipedia_link_5,wikipedia_link_6,wikipedia_link_7,wikipedia_link_8,wikipedia_link_9,wikipedia_link_10,wikipedia_link_11+,reasoning_types,wiki_links,multiple_constraints,numerical_reasoning,post_processing,tabular_reasoning,temporal_reasoning,sum,wiki_len,fold
Who was the president of Kenya when Uduak Amimo took a break from her talk show and the media to pursue her interest in coaching and social impact projects?,Uhuru Kenyatta,https://en.wikipedia.org/wiki/Uduak_Amimo,https://en.wikipedia.org/wiki/President_of_Kenya,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Uduak_Amimo', 'https://en.wikipedia.org/wiki/President_of_Kenya']",0,0,0,0,1,1,2,0
"In the year that the film 'Moana' was released, who was the hitting coach of the team that lost the MLB World Series? ",Ty Van Burkleo,https://en.wikipedia.org/wiki/Moana_(2016_film),https://en.wikipedia.org/wiki/2016_World_Series,https://en.wikipedia.org/wiki/2016_Cleveland_Indians_season,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Moana_(2016_film)', 'https://en.wikipedia.org/wiki/2016_World_Series', 'https://en.wikipedia.org/wiki/2016_Cleveland_Indians_season']",1,0,0,0,0,1,3,0
How many times in total did the Argentina women's field hockey team and the Uruguay women's field hockey team enter the Pan American Games and the Olympic Games from 2000 to 2020?,15,https://en.wikipedia.org/wiki/Field_hockey_at_the_Pan_American_Games,https://en.wikipedia.org/wiki/Field_hockey_at_the_Summer_Olympics,,,,,,,,,,Numerical reasoning | Tabular reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Field_hockey_at_the_Pan_American_Games', 'https://en.wikipedia.org/wiki/Field_hockey_at_the_Summer_Olympics']",0,1,0,1,1,3,2,0
How many days did it take for World War 2 to end after the death of Alois Burgstaller?,136 days,https://en.wikipedia.org/wiki/Alois_Burgstaller,https://en.wikipedia.org/wiki/World_War_II,,,,,,,,,,Numerical reasoning | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Alois_Burgstaller', 'https://en.wikipedia.org/wiki/World_War_II']",0,1,1,0,1,3,2,0
"As of August 3, 2024, excluding white, what colour features on the flag of the city that houses the racecourse where Danon The Kid made his racing debut?",Red,https://en.wikipedia.org/wiki/Danon_The_Kid,https://en.wikipedia.org/wiki/Hanshin_Racecourse,"https://en.wikipedia.org/wiki/Takarazuka,_Hy%C5%8Dgo",,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Danon_The_Kid', 'https://en.wikipedia.org/wiki/Hanshin_Racecourse', 'https://en.wikipedia.org/wiki/Takarazuka,_Hy%C5%8Dgo']",1,0,0,0,0,1,3,0
What was the difference in original sale price between Tom Thomson’s “Northern River” and “Northern Lake”,The difference in price was $250.,https://en.wikipedia.org/wiki/Tom_Thomson,https://en.wikipedia.org/wiki/Northern_River_(painting),,,,,,,,,,Numerical reasoning,"['https://en.wikipedia.org/wiki/Tom_Thomson', 'https://en.wikipedia.org/wiki/Northern_River_(painting)']",0,1,0,0,0,1,2,0
What NBA team was founded three years before the Apollo 11 crew landed on the moon?,The Chicago Bulls,https://en.wikipedia.org/wiki/Moon_landing,https://en.wikipedia.org/wiki/National_Basketball_Association,,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Moon_landing', 'https://en.wikipedia.org/wiki/National_Basketball_Association']",0,1,0,0,1,2,2,0
"Renowned Abstract Expressionist painter Clyfford Still graduated from college in 1933. As of August 1, 2024, what other alumnus from that university was nominated for a Pulitzer Prize?",Don Magnuson,https://en.wikipedia.org/wiki/Clyfford_Still,https://en.wikipedia.org/wiki/Spokane_University#Notable_alumni,https://en.wikipedia.org/wiki/Don_Magnuson,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Clyfford_Still', 'https://en.wikipedia.org/wiki/Spokane_University#Notable_alumni', 'https://en.wikipedia.org/wiki/Don_Magnuson']",1,0,0,0,0,1,3,0
"What is the the sum of the ages of the men who were executed by firing squad in Kilmainham Gaol, on the 12th of May, during the same year as the Battle of the Somme, when the died?",80,https://en.wikipedia.org/wiki/Battle_of_the_Somme,https://en.wikipedia.org/wiki/1916,https://en.wikipedia.org/wiki/James_Connolly,https://en.wikipedia.org/wiki/Se%C3%A1n_Mac_Diarmada,,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Battle_of_the_Somme', 'https://en.wikipedia.org/wiki/1916', 'https://en.wikipedia.org/wiki/James_Connolly', 'https://en.wikipedia.org/wiki/Se%C3%A1n_Mac_Diarmada']",1,1,0,0,0,2,4,0
What military awards were received by the General originally scheduled to lead Operation Torch before Lieutenant General Dwight D. Eisenhower was given command of the operation?,"Joseph Stilwell was originally scheduled to lead Operation Torch before Lieutenant General Dwight D. Eisenhower was given command of the operation. Stillwell received a Distinguished Service Cross, two Army Distinguished Service Medals, a Legion of Merit award, and a Bronze Star during his military career.",https://en.wikipedia.org/wiki/Operation_Torch,https://en.wikipedia.org/wiki/Joseph_Stilwell,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Operation_Torch', 'https://en.wikipedia.org/wiki/Joseph_Stilwell']",1,0,0,0,0,1,2,0
"From United States Former President Bill Clinton through Former President Donald Trump, which president in this time period has published the greatest number of books as of August 1, 2024? Please exclude from that count any books you find that are authored by someone else about a particular former president. ",Former President Bill Clinton has published seven books through 2024.,https://en.wikipedia.org/wiki/Bill_Clinton,https://en.wikipedia.org/wiki/George_W._Bush,https://en.wikipedia.org/wiki/Barack_Obama,https://en.wikipedia.org/wiki/Donald_Trump,,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Bill_Clinton', 'https://en.wikipedia.org/wiki/George_W._Bush', 'https://en.wikipedia.org/wiki/Barack_Obama', 'https://en.wikipedia.org/wiki/Donald_Trump']",1,1,0,0,0,2,4,0
Which horse won the Kentucky Derby during the same calendar year in which John Hinckley Jr. attempted to assassinate U.S. President Ronald Reagan?,Pleasant Colony,https://en.wikipedia.org/wiki/Attempted_assassination_of_Ronald_Reagan,https://en.wikipedia.org/wiki/Kentucky_Derby,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Attempted_assassination_of_Ronald_Reagan', 'https://en.wikipedia.org/wiki/Kentucky_Derby']",1,0,0,0,0,1,2,0
"When Justin Trudeau was elected as Prime Minister of Canada, who was the current Prime Minister of France?",Manuel Valls,https://en.wikipedia.org/wiki/Justin_Trudeau,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_France,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Justin_Trudeau', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_France']",1,0,0,0,0,1,2,0
This town was the original location of the tallest Christmas Tree displayed at the Rockefeller Center. This was also home to the author of a famous children's book series. What is the name of this series?,Doctor Dolittle,https://en.wikipedia.org/wiki/Rockefeller_Center_Christmas_Tree,"https://en.wikipedia.org/wiki/Killingworth,_Connecticut",https://en.wikipedia.org/wiki/Hugh_Lofting,https://en.wikipedia.org/wiki/Doctor_Dolittle,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Rockefeller_Center_Christmas_Tree', 'https://en.wikipedia.org/wiki/Killingworth,_Connecticut', 'https://en.wikipedia.org/wiki/Hugh_Lofting', 'https://en.wikipedia.org/wiki/Doctor_Dolittle']",1,0,0,0,0,1,4,0
What song was #1 on Billboard's Hot 100 for the most days during the Cuban Missile Crisis?,Monster Mash' by Bobby 'Boris' Pickett & the Crypt-Kickers,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis,https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1962,,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/Cuban_Missile_Crisis', 'https://en.wikipedia.org/wiki/List_of_Billboard_Hot_100_number_ones_of_1962']",1,1,0,1,0,3,2,0
"Of the counties that Wisconsin Highway 34 runs through, what is the seat of the most populous county based on 2020 census data? ",Wausau,https://en.wikipedia.org/wiki/Wisconsin_Highway_34,"https://en.wikipedia.org/wiki/Wood_County,_Wisconsin","https://en.wikipedia.org/wiki/Portage_County,_Wisconsin","https://en.wikipedia.org/wiki/Marathon_County,_Wisconsin",,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Wisconsin_Highway_34', 'https://en.wikipedia.org/wiki/Wood_County,_Wisconsin', 'https://en.wikipedia.org/wiki/Portage_County,_Wisconsin', 'https://en.wikipedia.org/wiki/Marathon_County,_Wisconsin']",1,0,0,0,0,1,4,0
"How many colours are on the flag of the country whose capital is the southernmost by latitude out of all landlocked countries, as of 2024? What are the names of these colours?","4 - blue, white, green, black",https://en.wikipedia.org/wiki/List_of_national_capitals_by_latitude,https://en.wikipedia.org/wiki/Landlocked_country,https://en.wikipedia.org/wiki/Flag_of_Lesotho,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/List_of_national_capitals_by_latitude', 'https://en.wikipedia.org/wiki/Landlocked_country', 'https://en.wikipedia.org/wiki/Flag_of_Lesotho']",1,1,0,1,0,3,3,0
"This 90s rock musical depiction of La bohème, had this music, lyrics and story written by a talent who passed the day before their Off-Broadway preview performance. Aside from Broadway, what was the name of his Netflix success? ","Tick, Tick... Boom!",https://en.wikipedia.org/wiki/La_boh%C3%A8me,https://en.wikipedia.org/wiki/Rent_(musical),https://en.wikipedia.org/wiki/Jonathan_Larson,"https://en.wikipedia.org/wiki/Tick,_Tick..._Boom!",,,,,,,,Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/La_boh%C3%A8me', 'https://en.wikipedia.org/wiki/Rent_(musical)', 'https://en.wikipedia.org/wiki/Jonathan_Larson', 'https://en.wikipedia.org/wiki/Tick,_Tick..._Boom!']",1,0,1,0,1,3,4,0
"As of August 3rd, 2024, which Moose Jaw Warrior with a retired number was born on May 29, 1967?",Mike Keane,https://en.wikipedia.org/wiki/Moose_Jaw_Warriors,https://en.wikipedia.org/wiki/Mike_Keane,https://en.wikipedia.org/wiki/Theoren_Fleury,https://en.wikipedia.org/wiki/Kelly_Buchberger,https://en.wikipedia.org/wiki/Ryan_Smyth,,,,,,,Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Moose_Jaw_Warriors', 'https://en.wikipedia.org/wiki/Mike_Keane', 'https://en.wikipedia.org/wiki/Theoren_Fleury', 'https://en.wikipedia.org/wiki/Kelly_Buchberger', 'https://en.wikipedia.org/wiki/Ryan_Smyth']",0,0,1,0,1,2,5,0
In what year was the former South Korean prime minister who is from the same clan as the oldest member of the band BTS born?,1948,https://en.wikipedia.org/wiki/BTS,https://en.wikipedia.org/wiki/Jin_(singer),https://en.wikipedia.org/wiki/Gwangsan_Kim_clan,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/BTS', 'https://en.wikipedia.org/wiki/Jin_(singer)', 'https://en.wikipedia.org/wiki/Gwangsan_Kim_clan']",1,0,0,0,0,1,3,0
By what amount was the budget of Peter Jackson's King Kong higher than the budget of John Guillermin's version of King Kong?,$183 million,https://en.wikipedia.org/wiki/King_Kong_(franchise),https://en.wikipedia.org/wiki/King_Kong_(2005_film),https://en.wikipedia.org/wiki/King_Kong_(1976_film),,,,,,,,,Numerical reasoning | Multiple constraints,"['https://en.wikipedia.org/wiki/King_Kong_(franchise)', 'https://en.wikipedia.org/wiki/King_Kong_(2005_film)', 'https://en.wikipedia.org/wiki/King_Kong_(1976_film)']",1,1,0,0,0,2,3,0
What award was won in 2003 by the Swiss architecture firm that designed Roche Tower?,The Stirling Prize.,https://en.wikipedia.org/wiki/Roche_Tower,https://en.wikipedia.org/wiki/Herzog_%26_de_Meuron,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Roche_Tower', 'https://en.wikipedia.org/wiki/Herzog_%26_de_Meuron']",0,0,0,0,1,1,2,0
"Of the Jason Statham movies that came out the year Dennis Hopper died, which could he have lived to see the premiere of?",13,https://en.wikipedia.org/wiki/Dennis_Hopper,https://en.wikipedia.org/wiki/Jason_Statham,https://en.wikipedia.org/wiki/13_(2010_film),https://en.wikipedia.org/wiki/The_Expendables_(2010_film),,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Dennis_Hopper', 'https://en.wikipedia.org/wiki/Jason_Statham', 'https://en.wikipedia.org/wiki/13_(2010_film)', 'https://en.wikipedia.org/wiki/The_Expendables_(2010_film)']",0,0,0,0,1,1,4,0
"What day of the year do John of Lancaster (Duke of Bedford), Fritz Koenig (German Sculptor), Edith Windsor (LGBT Activist), and Ulf Merbold (German Physicist and Astronaut) all have in common? ",They are all born on June 20.,"https://en.wikipedia.org/wiki/John_of_Lancaster,_Duke_of_Bedford",https://en.wikipedia.org/wiki/Fritz_Koenig,https://en.wikipedia.org/wiki/Edith_Windsor,https://en.wikipedia.org/wiki/Ulf_Merbold,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/John_of_Lancaster,_Duke_of_Bedford', 'https://en.wikipedia.org/wiki/Fritz_Koenig', 'https://en.wikipedia.org/wiki/Edith_Windsor', 'https://en.wikipedia.org/wiki/Ulf_Merbold']",1,0,0,0,0,1,4,0
"I'm thinking of the  screenplay, co-wrote by the same author as Lonesome Dove, that won an Oscar for Best Adapted Screenplay 20 years after Lonesome Dove won the Pulitzer Prize. What was the name of the screenplay? ",Brokeback Mountain,https://en.wikipedia.org/wiki/Lonesome_Dove ,https://en.wikipedia.org/wiki/78th_Academy_Awards,,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Lonesome_Dove ', 'https://en.wikipedia.org/wiki/78th_Academy_Awards']",0,1,0,0,1,2,2,0
"Which original Saturday Night Live cast member's daughter, tied with Hannah Waddingham for the Best Supporting Actress in a Streaming Series, Comedy award at the 1st Hollywood Critics Association TV Awards in 2021?",Laraine Newman,https://en.wikipedia.org/wiki/1st_Hollywood_Critics_Association_TV_Awards,https://en.wikipedia.org/wiki/Hannah_Einbinder,https://en.wikipedia.org/wiki/Hollywood_Creative_Alliance,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/1st_Hollywood_Critics_Association_TV_Awards', 'https://en.wikipedia.org/wiki/Hannah_Einbinder', 'https://en.wikipedia.org/wiki/Hollywood_Creative_Alliance']",1,0,0,0,0,1,3,0
Who was the youngest climber to podium at the first year climbing was in the olympics?,Alberto Ginés López (18 at the time).,https://en.wikipedia.org/wiki/Sport_climbing_at_the_Summer_Olympics,https://en.wikipedia.org/wiki/Alberto_Gin%C3%A9s_L%C3%B3pez,https://en.wikipedia.org/wiki/Nathaniel_Coleman,https://en.wikipedia.org/wiki/Jakob_Schubert,https://en.wikipedia.org/wiki/Janja_Garnbret,https://en.wikipedia.org/wiki/Miho_Nonaka,https://en.wikipedia.org/wiki/Akiyo_Noguchi,,,,,Tabular reasoning,"['https://en.wikipedia.org/wiki/Sport_climbing_at_the_Summer_Olympics', 'https://en.wikipedia.org/wiki/Alberto_Gin%C3%A9s_L%C3%B3pez', 'https://en.wikipedia.org/wiki/Nathaniel_Coleman', 'https://en.wikipedia.org/wiki/Jakob_Schubert', 'https://en.wikipedia.org/wiki/Janja_Garnbret', 'https://en.wikipedia.org/wiki/Miho_Nonaka', 'https://en.wikipedia.org/wiki/Akiyo_Noguchi']",0,0,0,1,0,1,7,0
Who was the successor of the Egyptian Pharaoh that was in power when the Treasury of Atreus was completed?,Merneptah,https://en.wikipedia.org/wiki/Treasury_of_Atreus,https://en.wikipedia.org/wiki/Periodization_of_ancient_Egypt,https://en.wikipedia.org/wiki/Nineteenth_Dynasty_of_Egypt#Pharaohs_of_the_19th_Dynasty,https://en.wikipedia.org/wiki/Ramesses_II,https://en.wikipedia.org/wiki/Merneptah,,,,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Treasury_of_Atreus', 'https://en.wikipedia.org/wiki/Periodization_of_ancient_Egypt', 'https://en.wikipedia.org/wiki/Nineteenth_Dynasty_of_Egypt#Pharaohs_of_the_19th_Dynasty', 'https://en.wikipedia.org/wiki/Ramesses_II', 'https://en.wikipedia.org/wiki/Merneptah']",1,0,0,0,1,2,5,0
Which set director born in 1936 won the Academy Award for Best Production Design during the 71st Academy Awards?,Jill Quertier,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Production_Design,https://en.wikipedia.org/wiki/Martin_Childs,https://en.wikipedia.org/wiki/Jill_Quertier,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Academy_Award_for_Best_Production_Design', 'https://en.wikipedia.org/wiki/Martin_Childs', 'https://en.wikipedia.org/wiki/Jill_Quertier']",1,0,0,0,0,1,3,0
How old was Akira Toriyama when Pokemon Diamond and Pearl was released in America?,Akira Toriyama was 52.,https://en.wikipedia.org/wiki/Akira_Toriyama,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Diamond_and_Pearl,,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Akira_Toriyama', 'https://en.wikipedia.org/wiki/Pok%C3%A9mon_Diamond_and_Pearl']",0,1,0,0,1,2,2,0
"In 2015, Emmanuel Lubezki was cinematographer for a film that was directed by the man who also directed the 2014 film Birdman. What is that film?",The Revenant,https://en.wikipedia.org/wiki/Birdman_(film),https://en.wikipedia.org/wiki/Alejandro_González_Iñárritu,https://en.wikipedia.org/wiki/Emmanuel_Lubezki#Feature_film,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Birdman_(film)', 'https://en.wikipedia.org/wiki/Alejandro_González_Iñárritu', 'https://en.wikipedia.org/wiki/Emmanuel_Lubezki#Feature_film']",1,0,0,0,0,1,3,0
Who was the British Prime Minister in the year that the Glastonbury Festival was launched?,"Edward Heath, September 1970",https://en.wikipedia.org/wiki/Glastonbury_Festival,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Glastonbury_Festival', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom']",1,0,0,0,0,1,2,0
"In January of 2024, how many colleges were in the district in which the William C. Davis Science building can be found?",Alamo Colleges District has 5 schools.,https://en.wikipedia.org/wiki/William_Conan_Davis,https://en.wikipedia.org/wiki/St._Philip%27s_College_(United_States),https://en.wikipedia.org/wiki/Alamo_Colleges_District,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/William_Conan_Davis', 'https://en.wikipedia.org/wiki/St._Philip%27s_College_(United_States)', 'https://en.wikipedia.org/wiki/Alamo_Colleges_District']",1,0,0,0,0,1,3,0
Can you add one minute to the time of the title track from the album released by Ray Charles in the year before Phil Quartararo took over as president of its record label?,"5:08 (""Strong Love Affair"" has an individual track time of 4:08)",https://en.wikipedia.org/wiki/Phil_Quartararo#Warner_Bros._Records,https://en.wikipedia.org/wiki/Warner_Records#End_of_an_era:_Ostin_and_Waronker_depart,https://en.wikipedia.org/wiki/Ray_Charles_discography,https://en.wikipedia.org/wiki/Strong_Love_Affair#Track_listing,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Phil_Quartararo#Warner_Bros._Records', 'https://en.wikipedia.org/wiki/Warner_Records#End_of_an_era:_Ostin_and_Waronker_depart', 'https://en.wikipedia.org/wiki/Ray_Charles_discography', 'https://en.wikipedia.org/wiki/Strong_Love_Affair#Track_listing']",1,1,0,0,1,3,4,0
"Do zebra, giraffe or hippos wean the earliest?",Giraffe,https://en.wikipedia.org/wiki/Plains_zebra,https://en.wikipedia.org/wiki/Giraffe,https://en.wikipedia.org/wiki/Hippopotamus,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/Plains_zebra', 'https://en.wikipedia.org/wiki/Giraffe', 'https://en.wikipedia.org/wiki/Hippopotamus']",0,1,0,0,1,2,3,0
Who became the prime minister of Canada in the same year that Jonathan Tremblay's re-election bid as representative for the electoral district of Montmorency—Charlevoix—Haute-Côte-Nord ended in defeat?,Justin Trudeau,https://en.wikipedia.org/wiki/Jonathan_Tremblay,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Canada,,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Jonathan_Tremblay', 'https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Canada']",1,0,0,0,0,1,2,0
How many days after Peter Tosh died did Bunny Wailer pass away?,"12,226 days",https://en.wikipedia.org/wiki/Peter_Tosh,https://en.wikipedia.org/wiki/Bunny_Wailer,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Peter_Tosh', 'https://en.wikipedia.org/wiki/Bunny_Wailer']",0,0,0,0,1,1,2,0
What is the name of the rock climber/businessman who co-founded the environmental group that the co-founder of Netflix joined?,Yvon Chouinard,https://en.wikipedia.org/wiki/Netflix,https://en.wikipedia.org/wiki/Marc_Randolph,https://en.wikipedia.org/wiki/One_Percent_for_the_Planet,https://en.wikipedia.org/wiki/Yvon_Chouinard,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Netflix', 'https://en.wikipedia.org/wiki/Marc_Randolph', 'https://en.wikipedia.org/wiki/One_Percent_for_the_Planet', 'https://en.wikipedia.org/wiki/Yvon_Chouinard']",1,0,0,0,0,1,4,0
"What is the name of the lead role of the play that Harry C. Bradley's second wife was in, in 1906?",Lord Fancourt Babberly,https://w.wiki/ASFv,https://en.wikipedia.org/wiki/Lottie_Alter,https://en.wikipedia.org/wiki/Charley%27s_Aunt,,,,,,,,,Multiple constraints,"['https://w.wiki/ASFv', 'https://en.wikipedia.org/wiki/Lottie_Alter', 'https://en.wikipedia.org/wiki/Charley%27s_Aunt']",1,0,0,0,0,1,3,0
How many more points did Michael Jordan average in his sophomore season (regular season) in the NBA than the first black NBA player averaged during his career (regular season)? Show me a math equation to justify your answer.,14.3 PPG  22.7 - 8.4 = 14.3,https://en.wikipedia.org/wiki/Michael_Jordan,https://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_NBA,https://en.wikipedia.org/wiki/Earl_Lloyd,,,,,,,,,Numerical reasoning | Tabular reasoning | Multiple constraints | Post processing | Temporal reasoning,"['https://en.wikipedia.org/wiki/Michael_Jordan', 'https://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_NBA', 'https://en.wikipedia.org/wiki/Earl_Lloyd']",1,1,1,1,1,5,3,0
"The number I am thinking about is the atomic number of the heavy metal that shares a name with the tier of the awards programme founded and chaired by Prince Philip that takes , at most, the same number of months to complete as the duration of an average pregnancy. What is the sum of the digits in this number?",11,"https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh",https://en.wikipedia.org/wiki/The_Duke_of_Edinburgh%27s_Award ,https://en.wikipedia.org/wiki/Pregnancy,https://en.wikipedia.org/wiki/Silver,,,,,,,,Numerical reasoning | Multiple constraints | Post processing,"['https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh', 'https://en.wikipedia.org/wiki/The_Duke_of_Edinburgh%27s_Award ', 'https://en.wikipedia.org/wiki/Pregnancy', 'https://en.wikipedia.org/wiki/Silver']",1,1,1,0,0,3,4,0
"Concerning just the winners between 2019 and 2024, which Pulitzer Prize-winning author was born in Maryland?",Barbara Kingsolver,https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction,https://en.wikipedia.org/wiki/Richard_Powers,https://en.wikipedia.org/wiki/Jayne_Anne_Phillips,https://en.wikipedia.org/wiki/Barbara_Kingsolver,https://en.wikipedia.org/wiki/Hernan_Diaz_(writer),https://en.wikipedia.org/wiki/Joshua_Cohen_(writer),https://en.wikipedia.org/wiki/Louise_Erdrich,https://en.wikipedia.org/wiki/Colson_Whitehead,,,,Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/Pulitzer_Prize_for_Fiction', 'https://en.wikipedia.org/wiki/Richard_Powers', 'https://en.wikipedia.org/wiki/Jayne_Anne_Phillips', 'https://en.wikipedia.org/wiki/Barbara_Kingsolver', 'https://en.wikipedia.org/wiki/Hernan_Diaz_(writer)', 'https://en.wikipedia.org/wiki/Joshua_Cohen_(writer)', 'https://en.wikipedia.org/wiki/Louise_Erdrich', 'https://en.wikipedia.org/wiki/Colson_Whitehead']",1,0,0,0,1,2,8,0
"What rank did Hermann Goring hold in the Luftwaffe during World War II, before Robert Ritter von Greim, and how does this rank compare to the equivalent ranks in other branches of the German military?","Reichsmarschall, which was a rank above ""General de Luftwaffe."" This rank does not exist in other branches of the German military and was unique to Goring himself as Robert Ritter von Greim held the title of Generalfeldmarschall after Hermann. ",https://en.wikipedia.org/wiki/General_der_Luftwaffe,https://en.wikipedia.org/wiki/General_of_the_branch,https://en.wikipedia.org/wiki/Luftwaffe,https://en.wikipedia.org/wiki/Hermann_G%C3%B6ring,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/General_der_Luftwaffe', 'https://en.wikipedia.org/wiki/General_of_the_branch', 'https://en.wikipedia.org/wiki/Luftwaffe', 'https://en.wikipedia.org/wiki/Hermann_G%C3%B6ring']",1,1,0,0,1,3,4,0
What is the full name of the district where the Memory of Mankind project is located?,Bezirk Gmunden,https://en.wikipedia.org/wiki/Memory_of_Mankind,https://en.wikipedia.org/wiki/Hallstatt,https://en.wikipedia.org/wiki/Gmunden_District,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Memory_of_Mankind', 'https://en.wikipedia.org/wiki/Hallstatt', 'https://en.wikipedia.org/wiki/Gmunden_District']",1,0,0,0,0,1,3,0
Mass Effect 2 once won the D.I.C.E. Award for Game of the Year. Who was the director for the game that won the same award twelve years earlier?,Martin Hollis,https://en.wikipedia.org/wiki/List_of_Game_of_the_Year_awards,https://en.wikipedia.org/wiki/GoldenEye_007_(1997_video_game),https://en.wikipedia.org/wiki/D.I.C.E._Award_for_Game_of_the_Year,,,,,,,,,Numerical reasoning | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_Game_of_the_Year_awards', 'https://en.wikipedia.org/wiki/GoldenEye_007_(1997_video_game)', 'https://en.wikipedia.org/wiki/D.I.C.E._Award_for_Game_of_the_Year']",0,1,0,0,1,2,3,0
What lasted longer: the reign of Queen Elizabeth II or the life of Julius Caesar?,The reign of Queen Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II,https://en.wikipedia.org/wiki/Julius_Caesar,,,,,,,,,,Temporal reasoning,"['https://en.wikipedia.org/wiki/Elizabeth_II', 'https://en.wikipedia.org/wiki/Julius_Caesar']",0,0,0,0,1,1,2,0
What was the population in 2020 of the city that is in the name of the football team that won the Super Bowl five years before Matthew McConaughey won best actor at the Academy Awards?,"302,971",https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Matthew_McConaughey,https://en.wikipedia.org/wiki/Super_Bowl_XLIII,https://en.wikipedia.org/wiki/Pittsburgh,,,,,,,,,Numerical reasoning | Multiple constraints | Temporal reasoning,"['https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Matthew_McConaughey', 'https://en.wikipedia.org/wiki/Super_Bowl_XLIII', 'https://en.wikipedia.org/wiki/Pittsburgh']",1,1,0,0,1,3,3,0
What two actors starred in both The Craft and Scream in the same year?,Neve Cambell and Skeet Ulrich,https://en.wikipedia.org/wiki/Scream_(1996_film),https://en.wikipedia.org/wiki/The_Craft_(film),,,,,,,,,,Multiple constraints,"['https://en.wikipedia.org/wiki/Scream_(1996_film)', 'https://en.wikipedia.org/wiki/The_Craft_(film)']",1,0,0,0,0,1,2,0
